CloudFraction,Latitude,Longitude,ScanTime
100.000008,-3.236140,-60.495613,1439881628
99.999992,-3.190864,-60.615883,1412666599
100.000000,-3.214753,-60.624100,1431415159
100.000015,-3.192455,-60.626633,1415864643
0.000000,-3.213315,-60.696716,1441786116
99.999992,-3.228643,-60.602467,1414998329
100.000008,-3.218415,-60.613499,1401562986
69.232437,-0.818358,-60.267441,1439881422
0.000000,-3.232438,-60.590088,1408347463
69.196701,-3.221284,-60.580750,1411067612
19.735048,-3.199876,-60.615627,1415475770
81.171333,-3.213790,-60.559044,1394911961
100.000008,-3.136036,-61.153622,1413966063
100.000000,-3.183882,-60.711014,1435129226
