date	title	amount	datevalue
2016-02-16	Padaria Paulistana	26.40	42416
2016-02-16	Mlivre 6/6	6.86	42416
2016-02-16	Chilli Beans 3/3	76.00	42416
2016-02-16	Expresso Itamarati 2/6	65.66	42416
2016-02-16	Comercial Marukai	14.15	42416
2016-02-16	Netoticas 5/6	79.84	42416
2016-02-16	Mercadopago*Mlivr 4/6	5.86	42416
2016-02-16	Eucatur 7/10	13.10	42416
2016-02-16	Mercadopago 2/12	6.11	42416
2016-02-16	Emporio Azuki	13.47	42416
2016-02-16	Bar e Lanches Teu Lar	3.00	42416
2016-02-16	Mlivre 6/6	6.15	42416
2016-02-16	Viacao Ouro Branco 3/3	85.00	42416
2016-02-16	Brilhos	35.00	42416
2016-02-16	Mercadopago 3/10	6.23	42416
2016-02-16	Mercadopago 3/10	6.22	42416
2016-02-16	Itapemirim Curitiba Curitiba 3/3	53.63	42416
2016-02-16	Starbucks Brasil	13.70	42416
2016-02-19	Lanchonete da Fisica	9.00	42419
2016-02-23	Mercadopago 1/12	16.36	42423
2016-02-23	M e B Mater Const e Fe	71.25	42423
2016-02-23	Fufu Lia	9.00	42423
2016-02-25	Ke Supimpa	2.50	42425
2016-02-25	Recarga Tim Autom	50.00	42425
2016-02-26	Dia Loja	30.81	42426
2016-02-27	Khi Burger	49.90	42427
2016-03-01	Natural Dazu	12.00	42430
2016-03-02	Ke Supimpa	6.00	42431
2016-03-04	Ke Supimpa	2.50	42433
2016-03-04	Habibs	16.70	42433
2016-03-08	Burger King Shopping e	23.50	42437
2016-03-08	Drogasil	21.14	42437
2016-03-08	Carrefour Ere	32.65	42437
2016-03-09	Ebanx	14.90	42438
2016-03-09	Lanchonete da Fisica	4.50	42438
2016-03-09	Mercadopago 1/12	6.98	42438
2016-03-09	M e B Mater Const e Fe	22.95	42438
2016-03-10	Nutricap Com Prod Alim	10.50	42439
2016-03-11	Mercadopago 1/9	6.39	42440
2016-03-11	Mercadopago Mlivre 1/6	7.97	42440
2016-03-11	Mercadopago 1/10	6.69	42440
2016-03-15	Loja do Mecanico 1/8	10.01	42444
2016-03-15	Centauro Com	48.02	42444
2016-03-15	Lanches Bh Ltda	13.70	42444
2016-03-15	A2g Comercio de Paes	5.80	42444
2016-03-15	Pagamento recebido	-1296.99	42444
2016-03-15	Roberto Sergio Zapata	52.80	42444
2016-03-15	Dia Loja	76.31	42444
2016-03-15	Estacao Ags Hamburguer	105.38	42444
2016-03-15	Roberto Sergio Zapata	7.90	42444
2016-03-15	El Mariachi	77.97	42444
2016-03-16	Expresso Itamarati 2/6	47.66	42445
2016-03-16	Mercadopago 2/12	16.33	42445
2016-03-16	Mercadopago 4/10	6.22	42445
2016-03-16	Mercadopago*Mlivr 5/6	5.86	42445
2016-03-16	Mercadopago 3/12	6.11	42445
2016-03-16	Mercadopago 4/10	6.23	42445
2016-03-16	Expresso Itamarati 3/6	65.66	42445
2016-03-16	Eucatur 8/10	13.10	42445
2016-03-16	Di Pratti Calcados 4/4	114.85	42445
2016-03-16	Eucatur 2/10	14.20	42445
2016-03-16	Casa das Biciclet 2/2	55.00	42445
2016-03-16	Netoticas 6/6	79.84	42445
2016-03-17	Ke Supimpa	4.00	42446
2016-03-18	Mercadopago Mlivre 1/3	8.40	42447
2016-03-18	Mercadopago Mlivre	6.50	42447
2016-03-19	Habibs	18.58	42448
2016-03-22	M e B Mater Const e Fe	21.95	42451
2016-03-22	Merc Silva e Barbosa	77.41	42451
2016-03-22	Dia Loja	6.05	42451
2016-03-23	Fundacao Estudar	65.00	42452
2016-03-25	Carrefour Ere	56.93	42454
2016-03-25	Carrefour Ere	19.01	42454
2016-03-25	Mc Donalds Hsc	33.00	42454
2016-03-29	Cervejaria Lisboa	10.00	42458
2016-03-29	Hot Dog da Augusta	44.50	42458
2016-03-29	Las Magrelas	48.50	42458
2016-03-29	Cinemark Eldorado	33.00	42458
2016-03-29	Recarga Tim Autom	50.00	42458
2016-03-29	Cinemark Eldorado	12.00	42458
2016-03-29	Bem Estar	9.00	42458
2016-03-31	Ke Supimpa	9.00	42460
2016-04-04	IOF de "Netflix Com"	2.85	42464
2016-04-05	Habibs	41.47	42465
