data,nome,tipo,valor
2015-08-03,JB Contabilidade,JB Contabilidade,-394.0
2015-08-03,FGTS,JB Contabilidade,-88.9
2015-08-03,DARF,JB Contabilidade,-11.11
2015-08-04,Vanusa (2 dias + VT),Diaristas,-170.0
2015-08-04,Caixa de som RMS USB,Compras,-31.6
2015-08-06,Reconhecer Firma,Cartório,-4.8
2015-08-07,Camiseta,Vendas,20.0
2015-08-07,Lanchonete,Aluguel,5250.0
2015-08-07,Registrar Ata,Cartório,-67.85
2015-08-07,Marinalva (2 dias+ VT),Diaristas,-170.0
2015-08-10,Material Limpeza,Material de Limpeza,-283.5
2015-08-10,Banheiro Quimico,Eventos,-650.0
2015-08-11,Moletom,Vendas,100.0
2015-08-11,Refrigerante (Fanta),Vendas,5.0
2015-08-11,Camiseta,Vendas,20.0
2015-08-11,Copias Chaves,Compras,-12.0
2015-08-11,Tarifa Banco(DOC),Eventos,-14.9
2015-08-11,Comidas e bebidas,Eventos,-3845.76
2015-08-11,Tarifa Banco(DOC),Eventos,-14.9
2015-08-11,Aluguel do som (1º parcela),Vendas,140.0
2015-08-11,Marinalva (2 dias+ VT),Diaristas,-170.0
2015-08-11,Comidas e bebidas,Eventos,-4910.2
2015-08-12,Camiseta (cartão),Vendas,20.0
2015-08-13,Material de escritório,Compras,-5.35
2015-08-13,Moletom,Vendas,100.0
2015-08-14,Xerox,Aluguel,1448.0
2015-08-14,Botijão de Gás,Eventos,-58.0
2015-08-14,Vanusa (2 dias + VT),Diaristas,-170.0
2015-08-17,Limpeza vidros Secretária,Outras despesas,-20.0
2015-08-18,Marinalva (2 dias+ VT),Diaristas,-170.0
2015-08-18,Aluguel som (2º parcela),Vendas,160.0
2015-08-18,Conta de Luz,Conta de Luz,-332.42
2015-08-19,Chaveiro,Vendas,5.0
2015-08-20,Vale,Funcionário-Marivalda,-500.0
2015-08-20,2 Camisetas ,Vendas,40.0
2015-08-21,Limpeza Festa(restante),Eventos,-15.0
2015-08-21,Vanusa (2 dias + VT),Diaristas,-170.0
2015-08-24,Moletom (cartão),Vendas,100.0
2015-08-24,Camiseta (cartão),Vendas,20.0
2015-08-25,Marinalva (2 dias+ VT),Diaristas,-170.0
2015-08-27,Moletom (cheque),Vendas,100.0
2015-08-28,2 Camisetas ,Vendas,40.0
2015-08-28,Câmeras Fotografica,Compras,-1079.87
2015-08-31,Camiseta,Vendas,20.0
2015-08-31,Livraria,Aluguel,1100.0
2015-09-01,Caneca,Vendas,5.0
